Rescue probability,Death rate,Mutation rate
1.0,1.1126315789473684,0.0005
1.0,1.1126315789473684,0.001
0.01,1.1410526315789475,1e-08
0.036,1.1410526315789475,5e-08
0.06,1.1410526315789475,1e-07
0.119,1.1410526315789475,1.584893192461114e-07
0.185,1.1410526315789475,2.5118864315095823e-07
0.26,1.1410526315789475,3.981071705534969e-07
0.385,1.1410526315789475,6.30957344480193e-07
0.532,1.1410526315789475,1e-06
0.721,1.1410526315789475,1.584893192461114e-06
0.876,1.1410526315789475,2.5118864315095823e-06
0.956,1.1410526315789475,3.981071705534969e-06
0.994,1.1410526315789475,6.30957344480193e-06
0.999,1.1410526315789475,1e-05
1.0,1.1410526315789475,1.584893192461114e-05
1.0,1.1410526315789475,2.5118864315095822e-05
1.0,1.1410526315789475,3.9810717055349695e-05
1.0,1.1410526315789475,6.309573444801943e-05
1.0,1.1410526315789475,0.0001
1.0,1.1410526315789475,0.0005
1.0,1.1410526315789475,0.001
0.007,1.1694736842105264,1e-08
0.026,1.1694736842105264,5e-08
0.062,1.1694736842105264,1e-07
0.095,1.1694736842105264,1.584893192461114e-07
0.145,1.1694736842105264,2.5118864315095823e-07
0.218,1.1694736842105264,3.981071705534969e-07
0.353,1.1694736842105264,6.30957344480193e-07
0.491,1.1694736842105264,1e-06
0.633,1.1694736842105264,1.584893192461114e-06
0.825,1.1694736842105264,2.5118864315095823e-06
0.926,1.1694736842105264,3.981071705534969e-06
0.986,1.1694736842105264,6.30957344480193e-06
0.996,1.1694736842105264,1e-05
1.0,1.1694736842105264,1.584893192461114e-05
1.0,1.1694736842105264,2.5118864315095822e-05
1.0,1.1694736842105264,3.9810717055349695e-05
1.0,1.1694736842105264,6.309573444801943e-05
1.0,1.1694736842105264,0.0001
1.0,1.1694736842105264,0.0005
1.0,1.1694736842105264,0.001
0.003,1.1978947368421053,1e-08
0.019,1.1978947368421053,5e-08
0.048,1.1978947368421053,1e-07
0.071,1.1978947368421053,1.584893192461114e-07
0.114,1.1978947368421053,2.5118864315095823e-07
0.184,1.1978947368421053,3.981071705534969e-07
0.261,1.1978947368421053,6.30957344480193e-07
0.387,1.1978947368421053,1e-06
0.522,1.1978947368421053,1.584893192461114e-06
0.702,1.1978947368421053,2.5118864315095823e-06
0.84,1.1978947368421053,3.981071705534969e-06
0.953,1.1978947368421053,6.30957344480193e-06
0.991,1.1978947368421053,1e-05
0.999,1.1978947368421053,1.584893192461114e-05
1.0,1.1978947368421053,2.5118864315095822e-05
1.0,1.1978947368421053,3.9810717055349695e-05
1.0,1.1978947368421053,6.309573444801943e-05
1.0,1.1978947368421053,0.0001
1.0,1.1978947368421053,0.0005
1.0,1.1978947368421053,0.001
0.0,1.2263157894736842,1e-08
0.0,1.2263157894736842,5e-08
0.0,1.2263157894736842,1e-07
0.0,1.2263157894736842,1.584893192461114e-07
0.0,1.2263157894736842,2.5118864315095823e-07
0.0,1.2263157894736842,3.981071705534969e-07
0.0,1.2263157894736842,6.30957344480193e-07
0.0,1.2263157894736842,1e-06
0.0,1.2263157894736842,1.584893192461114e-06
0.0,1.2263157894736842,2.5118864315095823e-06
0.0,1.2263157894736842,3.981071705534969e-06
0.0,1.2263157894736842,6.30957344480193e-06
0.0,1.2263157894736842,1e-05
0.0,1.2263157894736842,1.584893192461114e-05
0.0,1.2263157894736842,2.5118864315095822e-05
0.0,1.2263157894736842,3.9810717055349695e-05
0.0,1.2263157894736842,6.309573444801943e-05
0.0,1.2263157894736842,0.0001
0.0,1.2263157894736842,0.0005
0.0,1.2263157894736842,0.001
0.0,1.2547368421052632,1e-08
0.0,1.2547368421052632,5e-08
0.0,1.2547368421052632,1e-07
0.0,1.2547368421052632,1.584893192461114e-07
0.0,1.2547368421052632,2.5118864315095823e-07
0.0,1.2547368421052632,3.981071705534969e-07
0.0,1.2547368421052632,6.30957344480193e-07
0.0,1.2547368421052632,1e-06
0.0,1.2547368421052632,1.584893192461114e-06
0.0,1.2547368421052632,2.5118864315095823e-06
0.0,1.2547368421052632,3.981071705534969e-06
0.0,1.2547368421052632,6.30957344480193e-06
0.0,1.2547368421052632,1e-05
0.0,1.2547368421052632,1.584893192461114e-05
0.0,1.2547368421052632,2.5118864315095822e-05
0.0,1.2547368421052632,3.9810717055349695e-05
